type, size, algo, threshold, avg_ms
random, 500, merge, -1, 0
random, 500, merge_insertion, 10, 0
random, 500, merge_insertion, 16, 0
random, 500, merge_insertion, 30, 0
random, 600, merge, -1, 0
random, 600, merge_insertion, 10, 0
random, 600, merge_insertion, 16, 0
random, 600, merge_insertion, 30, 0
random, 700, merge, -1, 0
random, 700, merge_insertion, 10, 0
random, 700, merge_insertion, 16, 0
random, 700, merge_insertion, 30, 0
random, 800, merge, -1, 0
random, 800, merge_insertion, 10, 0
random, 800, merge_insertion, 16, 0
random, 800, merge_insertion, 30, 0
random, 900, merge, -1, 0
random, 900, merge_insertion, 10, 0
random, 900, merge_insertion, 16, 0
random, 900, merge_insertion, 30, 0
random, 1000, merge, -1, 0
random, 1000, merge_insertion, 10, 0
random, 1000, merge_insertion, 16, 0
random, 1000, merge_insertion, 30, 0
random, 1100, merge, -1, 0
random, 1100, merge_insertion, 10, 0
random, 1100, merge_insertion, 16, 0
random, 1100, merge_insertion, 30, 0
random, 1200, merge, -1, 0
random, 1200, merge_insertion, 10, 1
random, 1200, merge_insertion, 16, 0
random, 1200, merge_insertion, 30, 0
random, 1300, merge, -1, 1
random, 1300, merge_insertion, 10, 0
random, 1300, merge_insertion, 16, 0
random, 1300, merge_insertion, 30, 0
random, 1400, merge, -1, 0
random, 1400, merge_insertion, 10, 0
random, 1400, merge_insertion, 16, 0
random, 1400, merge_insertion, 30, 0
random, 1500, merge, -1, 0
random, 1500, merge_insertion, 10, 0
random, 1500, merge_insertion, 16, 0
random, 1500, merge_insertion, 30, 0
random, 1600, merge, -1, 1
random, 1600, merge_insertion, 10, 0
random, 1600, merge_insertion, 16, 0
random, 1600, merge_insertion, 30, 0
random, 1700, merge, -1, 1
random, 1700, merge_insertion, 10, 0
random, 1700, merge_insertion, 16, 0
random, 1700, merge_insertion, 30, 0
random, 1800, merge, -1, 1
random, 1800, merge_insertion, 10, 0
random, 1800, merge_insertion, 16, 0
random, 1800, merge_insertion, 30, 0
random, 1900, merge, -1, 1
random, 1900, merge_insertion, 10, 0
random, 1900, merge_insertion, 16, 0
random, 1900, merge_insertion, 30, 0
random, 2000, merge, -1, 1
random, 2000, merge_insertion, 10, 0
random, 2000, merge_insertion, 16, 0
random, 2000, merge_insertion, 30, 0
random, 2100, merge, -1, 1
random, 2100, merge_insertion, 10, 0
